layer,causeLabel,immediateCauseLabel,contributingFactorLabel,effectLabel,immediateCauseOfLabel,contributingFactorOfLabel,coords,survivors,injured,dead,placePicture,placeLabel,countryLabel,date,item,itemLabel
More than 10 deaths,,,,,,,Point(27.5525 53.9053),,250 injured,53 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Nyam%2008.jpg,Nyamiha,Belarus,1999-05-30T00:00:00Z,http://www.wikidata.org/entity/Q2634583,Nyamiha disaster
More than 10 deaths,,,,,,,,,115 injured,46 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20de%20Santa%20Teresa%20y%20Santa%20Ana.jpg,Basilica of St. Teresa,Venezuela,1952-04-09T00:00:00Z,http://www.wikidata.org/entity/Q58792038,Tragedia en la iglesia de Santa Teresa
More than 10 deaths,,,,,,,Point(4.333888888 50.895),,600 injured,39 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20Roi%20Baudouin.JPG,King Baudouin Stadium,Belgium,1985-05-29T00:00:00Z,http://www.wikidata.org/entity/Q323888,Heysel Stadium disaster
More than 10 deaths,,,,,,,Point(121.486138888 31.238027777),,47 injured,36 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Promenade%20du%20Bund.jpg,The Bund,People's Republic of China,2014-12-31T00:00:00Z,http://www.wikidata.org/entity/Q18698657,2014 Shanghai stampede
More than 10 deaths,,,,,,,,,,31 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Kerbela%20Hussein%20Moschee.jpg,Karbala,Iraq,2019-09-10T00:00:00Z,http://www.wikidata.org/entity/Q67222185,Karbala stampede
More than 10 deaths,,,,,,,Point(31.3736 30.02),,,28 dead,http://commons.wikimedia.org/wiki/Special:FilePath/30%20June%20Stadium%20Cairo.jpg,30 June Stadium,Egypt,2015-02-08T00:00:00Z,http://www.wikidata.org/entity/Q19056807,30 June Stadium Stampede
More than 10 deaths,,,,,,,Point(-80.1862 40.2586),,,26 dead,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Morgan%20Building%2C%20Canonsburg%2C%20Pennsylvania.jpg,Morgan Opera House,United States of America,1911-08-26T00:00:00Z,http://www.wikidata.org/entity/Q65117975,Canonsburg Opera House disaster
More than 10 deaths,stampede,,,,,,,,,25 dead,,,,2017-02-10T00:00:00Z,http://www.wikidata.org/entity/Q30727271,Q30727271
More than 10 deaths,,,,,,,Point(72.835976 19.007533),,38 injured,23 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Mumbai%2003-2016%2084%20Elphinstone%20Road%20station.jpg,Parel-Prabhadevi railway station,India,2017-09-29T00:00:00Z,http://www.wikidata.org/entity/Q41336956,2017 Mumbai stampede
More than 10 deaths,,,,,,,Point(72.835976 19.007533),,38 injured,23 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Mumbai%2003-2016%2085%20Parel%20station.jpg,Parel-Prabhadevi railway station,India,2017-09-29T00:00:00Z,http://www.wikidata.org/entity/Q41336956,2017 Mumbai stampede
More than 10 deaths,,,,,,,Point(6.772439 51.420333),,541 injured,21 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Duisburg%20-%20Schwanentorbr%C3%BCcke%201.jpg,Duisburg,Germany,2010-07-24T00:00:00Z,http://www.wikidata.org/entity/Q309578,Love Parade disaster
More than 10 deaths,,,,,,,Point(23.66431667 37.94644722),,,21 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Karaiskakis%20Stadium%20Piraeus%20Olympiacos-Arsenal.jpg,Karaiskakis Stadium,Greece,1981-02-08T00:00:00Z,http://www.wikidata.org/entity/Q3556846,Karaiskakis Stadium disaster
